J2000_NAME,B1950_NAME,PC_J2000,PC_B1950,RA_J2000,DEC_J2000,POS_REF,ALT_NAME,BAND,A,B,C,D,FLUX_JY,UVMIN_kL,UVMAX_kL
0418+380,0415+379,B,B,04h18m21.2770s,"38d01'35.800""",Feb01,None,3.7cm,X,X,X,X,2.0,None,None
0418+380,0415+379,B,B,04h18m21.2770s,"38d01'35.800""",Feb01,None,0.7cm,Q,S,S,S,4.2,None,None
0418+549,0414+548,B,B,04h18m19.3405s,"54d57'15.327""",Nov02,JVAS,0.7cm,Q,W,W,W,0.21,None,None
0419+399,0415+398,A,A,04h19m22.549539s,"39d55'28.977640""",Aug01,None,2cm,U,W,W,W,0.4,None,None
0419+399,0415+398,A,A,04h19m22.549539s,"39d55'28.977640""",Aug01,None,0.7cm,Q,W,W,W,0.3,None,None
0419+573,0415+572,B,B,04h19m19.4129s,"57d22'59.977""",Nov02,JVAS,0.7cm,Q,W,W,W,0.18,None,None
0422+309,0419+308,B,B,04h22m21.2256s,"30d58'09.668""",Dec01,JVAS,0.7cm,Q,W,W,W,0.12,None,None
0422+534,0418+532,B,B,04h22m44.398788s,"53d24'26.263130""",Aug01,None,2cm,U,W,W,W,0.3,None,None
0422+534,0418+532,B,B,04h22m44.398788s,"53d24'26.263130""",Aug01,None,0.7cm,Q,W,W,W,0.1,None,None
0422+023,0420+022,A,A,04h22m52.214644s,"02d19'26.931920""",Aug01,None,2cm,U,S,S,S,0.9,None,None
0422+023,0420+022,A,A,04h22m52.214644s,"02d19'26.931920""",Aug01,None,0.7cm,Q,W,W,W,0.7,None,None
0423-013,0420-014,A,A,04h23m15.800727s,"-01d20'33.065310""",Aug01,None,20cm,L,P,P,P,1.60,None,None
0423-013,0420-014,A,A,04h23m15.800727s,"-01d20'33.065310""",Aug01,None,6cm,C,P,P,P,3.70,None,None
0423-013,0420-014,A,A,04h23m15.800727s,"-01d20'33.065310""",Aug01,None,3.7cm,X,P,P,P,4.25,None,None
0423-013,0420-014,A,A,04h23m15.800727s,"-01d20'33.065310""",Aug01,None,2cm,U,P,P,P,4.30,None,None
0423-013,0420-014,A,A,04h23m15.800727s,"-01d20'33.065310""",Aug01,None,0.7cm,Q,S,S,S,2.9,None,None
0423+418,0420+417,A,A,04h23m56.009795s,"41d50'02.712770""",Aug01,None,20cm,L,X,X,P,2.0,None,None
0423+418,0420+417,A,A,04h23m56.009795s,"41d50'02.712770""",Aug01,None,3.7cm,X,P,P,P,1.12,None,None
0423+418,0420+417,A,A,04h23m56.009795s,"41d50'02.712770""",Aug01,None,2cm,U,P,P,P,0.72,None,None
0423+418,0420+417,A,A,04h23m56.009795s,"41d50'02.712770""",Aug01,None,0.7cm,Q,S,S,S,1.0,None,None
0423+348,0420+347,T,T,04h23m53.2410s,"34d51'44.540""",Oct99,3C115,20cm,L,X,S,S,1.30,30,None
0423+348,0420+347,T,T,04h23m53.2410s,"34d51'44.540""",Oct99,3C115,6cm,C,X,X,S,0.50,30,None
0424+020,0421+019,A,A,04h24m08.562028s,"02d04'24.964950""",Aug01,None,20cm,L,S,S,S,1.10,None,None
0424+020,0421+019,A,A,04h24m08.562028s,"02d04'24.964950""",Aug01,None,6cm,C,P,P,S,0.75,None,None
0424+020,0421+019,A,A,04h24m08.562028s,"02d04'24.964950""",Aug01,None,3.7cm,X,P,P,P,0.57,None,None
0424+020,0421+019,A,A,04h24m08.562028s,"02d04'24.964950""",Aug01,None,2cm,U,S,S,S,0.40,None,None
