iau_name,ra_str,dec_str,pos_code,pos_ref,alt_name,epoch,flux_P_jy,flux_L_jy,flux_C_jy,flux_X_jy,flux_U_jy,flux_K_jy,flux_Q_jy,struct_L_A,struct_L_B,struct_L_C,struct_L_D
1248-199,12h48m23.898197s,"-19d59'18.587620""",A,Aug01,,J2000,,,,,,,,,,,
1256-057,12h56m11.166560s,"-05d47'21.524580""",B,Aug01,3C279,J2000,,,,,,,,,,,
1257-319,12h57m59.060804s,"-31d55'16.851850""",A,Aug01,,J2000,,,,,,,,,,,
1258-223,12h58m54.478780s,"-22d19'31.125450""",A,Aug01,,J2000,,,,,,,,,,,
1305-105,13h05m33.015026s,"-10d33'19.428210""",A,Aug01,,J2000,,,,,,,,,,,
1308-098,13h08m39.1690s,"-09d50'32.680""",T,,,J2000,,,,,,,,,,,
1311-222,13h11m39.3347s,"-22d16'41.748""",C,3C283,,J2000,,,,,,,,,,,
1316-336,13h16m07.985939s,"-33d38'59.172500""",A,Aug01,,J2000,,,,,,,,,,,
1323-448,13h23m04.246182s,"-44d52'33.853400""",B,Aug01,,J2000,,,,,,,,,,,
1337-129,13h37m39.782780s,"-12d57'24.693230""",A,Aug01,,J2000,,,,,,,,,,,
1338-064,13h38m08.0700s,"-06d27'11.200""",T,Oct99,,J2000,,,,,,,,,,,
1339-263,13h39m19.890748s,"-26d20'30.495900""",A,Aug01,,J2000,,,,,,,,,,,
1347-080,13h47m01.5230s,"-08d03'23.840""",T,Oct99,,J2000,,,,,,,,,,,
1349-393,13h49m51.1675s,"-39d22'50.268""",T,,,J2000,,,,,,,,,,,
1351-148,13h51m52.649611s,"-14d49'14.555740""",A,Aug01,,J2000,,,,,,,,,,,
1352-442,13h52m56.534916s,"-44d12'40.387480""",A,Aug01,,J2000,,,,,,,,,,,
1354-021,13h54m06.895319s,"-02d06'03.190510""",A,Aug01,,J2000,,,,,,,,,,,
1356-343,13h56m05.3836s,"-34d21'10.824""",C,Jan97,,J2000,,,,,,,,,,,
1357-177,13h57m06.074200s,"-17d44'01.904130""",A,Aug01,,J2000,,,,,,,,,,,
1357-154,13h57m11.244974s,"-15d27'28.786530""",A,Aug01,,J2000,,,,,,,,,,,
1404-015,14h04m45.895457s,"-01d30'21.946690""",A,Aug01,,J2000,,,,,,,,,,,
1408-078,14h08m56.481200s,"-07d52'26.666330""",A,Aug01,,J2000,,,,,,,,,,,
